altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
3136	14	60	1	4707	207	209	137	3062	1
2814	14	95	-3	2979	219	208	120	4600	1
2800	6	0	0	2861	223	226	138	4497	1
3175	7	218	-5	4351	230	228	130	2940	1
2606	15	469	39	674	239	213	100	2772	1
2575	14	503	56	467	228	208	111	2631	1
2998	8	437	112	6176	212	248	172	5191	1
3021	6	983	102	5532	230	233	136	5824	1
2595	14	470	76	540	219	207	121	2609	1
2942	12	124	46	5961	188	230	182	4956	1
2936	6	150	23	5155	211	246	172	4040	1
2959	5	362	62	3985	206	236	168	5401	1
2754	1	90	-1	2287	216	239	161	3869	1
3208	10	454	33	4010	235	223	119	2998	1
2972	13	360	47	5138	236	215	107	6478	1
2939	3	30	7	4799	212	239	165	6121	1
2841	8	95	6	3005	230	226	129	4442	1
2600	26	242	59	497	236	235	112	2382	1
3139	16	600	10	4440	246	221	98	3544	1
2916	6	212	20	5424	230	237	140	4672	1
2909	12	60	13	3755	238	223	115	5082	1
2765	2	162	13	2089	222	235	149	3545	1
2975	9	785	79	6048	213	248	171	5660	1
2717	14	531	33	1290	223	210	118	2739	1
2768	9	497	51	1594	235	231	128	2850	1
3152	8	721	-11	4118	227	223	130	3866	1
2793	5	240	41	1860	228	235	141	3054	1
2969	6	633	75	6096	214	246	168	6004	1
3234	10	228	13	3668	236	225	120	3748	1
3178	8	631	3	3886	199	234	174	4101	1
3011	13	351	39	5341	242	226	109	6346	1
2942	5	444	49	5887	210	243	171	6032	1
3021	15	361	112	4395	227	206	108	4659	1
2939	7	424	46	5867	208	247	176	6052	1
2848	13	451	15	2761	217	210	126	3649	1
3142	13	503	-15	4079	221	210	122	4479	1
2795	9	457	-4	1765	220	219	134	2636	1
3201	2	437	26	3779	221	239	154	4279	1
2959	11	446	63	5928	198	249	189	6266	1
2826	10	175	34	2403	229	221	124	3226	1
2972	11	323	69	4405	232	218	118	4908	1
2844	11	257	52	2484	220	217	130	3259	1
2646	20	376	-9	1150	187	199	146	1570	1
2972	10	67	8	4832	193	233	179	5610	1
2991	8	216	42	4287	230	240	142	5176	1
3142	14	192	13	3773	234	211	106	4825	1
2991	6	247	27	5086	220	226	142	5723	1
3109	18	95	16	3670	224	248	150	5075	1
2822	10	170	11	2385	232	221	121	2707	1
2898	8	330	18	3663	219	248	162	3882	1
3100	6	0	0	3113	231	231	133	5391	1
3034	6	516	43	5527	226	228	136	5316	1
3004	10	693	108	5837	193	243	189	5455	1
3070	15	42	6	3139	224	248	153	5655	1
3070	14	67	7	3158	214	252	169	5666	1
3054	17	60	0	3169	230	245	141	5752	1
2985	7	30	0	5207	231	237	139	4919	1
2771	6	153	19	2370	215	247	168	1613	1
2875	8	30	2	3608	214	223	145	3548	1
2876	5	153	17	3483	216	230	152	3303	1
2988	2	180	16	5006	222	234	149	4677	1
2570	10	306	60	750	237	234	126	85	1
2998	16	124	30	3267	238	208	96	6157	1
3073	8	240	26	2970	225	223	132	6082	1
2913	6	90	-4	3894	230	236	140	6286	1
2545	23	42	14	870	245	228	99	277	1
2679	19	255	30	1470	244	232	108	725	1
2731	7	234	18	2188	221	246	159	1528	1
2731	12	85	18	2469	215	250	168	1888	1
3024	5	297	49	5009	220	228	144	3747	1
2890	7	525	62	3589	231	237	139	3144	1
2658	15	30	2	1959	242	233	115	1631	1
2631	18	150	37	1440	176	215	178	1168	1
2998	9	247	20	3114	206	223	154	6099	1
2540	9	255	34	285	226	221	129	1307	1
2987	12	30	0	4890	222	214	126	3252	1
3003	9	433	2	3254	219	220	136	5709	1
3057	8	722	58	5690	204	244	179	3489	1
2696	6	566	80	1103	227	230	137	1436	1
2747	8	351	60	1989	215	223	145	2044	1
2767	2	0	0	3380	223	235	148	3049	1
2998	7	212	-1	3413	203	232	168	5451	1
3031	9	297	32	5171	236	231	126	3143	1
2710	6	532	-4	1245	213	228	153	1600	1
3018	13	404	19	5226	233	242	138	3081	1
2736	6	430	20	1574	228	229	136	1902	1
2800	8	30	3	3331	211	225	152	2794	1
3003	12	67	0	3502	200	219	157	5181	1
2872	22	270	102	3630	217	185	92	2703	1
2727	5	162	11	1290	225	230	139	1959	1
3001	12	592	92	5790	216	250	167	3087	1
2946	16	371	153	3694	230	207	107	2457	1
3053	13	402	38	3612	241	231	116	4901	1
2955	9	285	38	5295	234	238	135	2538	1
2827	8	319	26	2530	231	239	140	2664	1
2642	9	180	-3	474	208	223	152	1489	1
2988	10	283	16	4290	218	218	135	4075	1
2952	12	433	46	5696	224	247	154	2629	1
2629	35	85	27	1009	137	161	148	2348	1
2646	5	30	-4	573	214	229	152	1492	1
2611	15	0	0	1317	227	207	109	2486	1
2992	7	443	75	4532	231	238	140	1907	1
2677	13	0	0	1168	183	231	188	2536	1
2952	9	234	10	4555	235	225	121	3483	1
2700	25	67	25	1410	156	198	176	2679	1
2766	22	95	23	2820	247	200	71	2148	1
2736	12	42	-3	1674	195	220	164	2866	1
3182	9	342	40	2997	232	223	124	4943	1
2939	22	175	64	4200	212	251	162	1500	1
2703	25	108	40	2192	151	203	187	2502	1
2995	16	659	79	5604	182	218	174	1748	1
2969	27	190	-5	5067	149	194	178	1332	1
2748	14	60	9	3569	189	217	166	1318	1
2998	17	170	38	4737	191	209	156	1036	1
3140	12	447	23	3644	237	221	112	3718	1
2876	26	390	160	3155	164	189	156	1597	1
2991	15	201	6	4582	225	206	111	2732	1
2700	22	150	50	1104	212	187	102	2059	1
2877	13	256	53	2405	229	213	115	2247	1
3126	17	362	13	4023	213	200	118	3202	1
2828	13	361	93	1772	229	211	113	2713	1
3211	9	513	69	2903	231	222	124	4340	1
3028	6	342	59	5204	225	240	150	960	1
2738	12	300	97	1250	230	214	115	2190	1
2854	12	376	49	2166	233	215	112	2730	1
3093	8	30	0	4031	231	225	127	2910	1
3172	10	330	59	3717	215	219	140	3323	1
3182	10	421	69	3635	206	222	154	3409	1
2974	15	384	62	3419	235	242	135	1191	1
2972	20	67	11	5125	245	203	79	577	1
2951	14	212	43	3907	216	251	167	752	1
2869	21	0	0	4189	162	236	213	631	1
2874	9	0	0	3048	197	232	175	1738	1
3080	21	285	-31	3922	245	230	104	2763	1
3149	11	450	49	3354	223	217	127	3331	1
2723	11	108	-6	1061	216	215	134	1723	1
2840	9	175	30	2288	202	225	161	2805	1
2735	18	67	5	1133	219	250	157	1698	1
2983	12	67	11	3745	199	223	162	1019	1
2761	4	85	9	1939	216	244	164	2609	1
2538	6	162	5	671	229	234	138	930	1
2956	26	268	109	5419	211	249	156	604	1
3113	17	134	23	3474	247	219	96	3015	1
2772	8	228	23	1872	232	238	138	2363	1
2684	8	324	0	706	229	224	130	1026	1
3162	16	150	30	3027	241	235	119	3479	1
2874	21	67	23	5442	228	244	137	637	1
3129	13	60	3	3198	239	237	125	3246	1
2914	11	283	83	4999	205	218	149	495	1
3000	4	162	9	4065	227	238	146	780	1
2926	15	335	93	4971	178	231	194	451	1
2778	1	182	15	1657	215	237	159	1908	1
2722	2	571	105	1071	222	235	150	824	1
2962	13	108	30	4357	241	224	110	1900	1
2744	9	285	1	1307	225	221	130	1233	1
2958	8	319	45	3565	234	229	127	1633	1
2754	7	418	21	1301	206	230	162	1101	1
2938	13	201	32	3479	239	236	124	1664	1
2801	15	85	20	1944	180	222	181	2032	1
2673	17	228	49	1236	232	203	99	426	1
3004	19	127	36	3872	248	225	97	2384	1
2979	9	30	12	4236	199	230	171	1103	1
3081	14	170	35	4823	234	213	108	552	1
2975	7	0	0	3845	227	225	132	2416	1
2830	10	192	32	1953	224	219	129	1801	1
3014	5	277	48	4188	210	233	162	1230	1
3005	10	61	11	4390	196	229	173	1173	1
2565	15	301	41	815	209	207	133	450	1
2936	25	210	50	5101	149	243	228	1416	1
2894	0	67	0	3274	217	237	157	1972	1
2939	20	134	50	5595	230	194	88	1233	1
3132	10	134	23	2785	233	223	121	3471	1
3074	8	30	-5	3141	220	222	137	3140	1
2929	13	216	15	4624	237	217	107	1913	1
3115	10	212	36	5028	232	221	120	1062	1
3173	5	713	262	5455	215	245	167	1112	1
2987	7	268	73	3515	212	227	152	1994	1
3050	13	420	126	4320	236	216	110	2250	1
3009	5	31	1	3986	209	233	162	1165	1
3077	16	553	27	3607	188	210	159	2808	1
3080	19	660	156	4079	199	198	132	2440	1
3048	10	446	68	4606	214	219	140	630	1
3005	20	330	76	5865	160	231	209	1376	1
3167	5	552	59	5521	206	238	171	1289	1
2980	7	30	0	3799	216	225	146	1651	1
2749	3	42	0	1943	223	239	151	914	1
2837	18	85	18	2646	238	240	124	2051	1
2633	9	42	-5	1114	232	224	124	787	1
2932	11	175	39	3467	238	225	117	2289	1
2766	11	108	0	2133	216	217	135	1103	1
2995	5	277	25	3855	220	230	147	1812	1
2852	15	96	21	2787	240	218	105	2195	1
2758	4	150	3	2016	220	232	149	1045	1
3002	10	201	17	4013	227	218	124	1484	1
3098	23	570	169	5871	153	240	223	1507	1
2850	12	128	13	2896	222	248	158	2285	1
2958	15	216	38	3723	244	220	102	2058	1
2786	7	277	16	2134	207	230	161	1284	1
2985	18	30	7	4474	244	206	86	2557	1
2965	13	108	6	4683	196	217	159	2440	1
2816	8	313	21	2430	231	226	129	1549	1
2717	10	258	-5	1381	236	226	120	1140	1
3167	3	604	59	5883	210	238	166	1200	1
3042	9	85	7	4729	234	226	124	661	1
2845	7	0	0	3272	210	227	157	2542	1
2631	22	336	87	1050	233	188	76	1324	1
3113	15	85	20	5216	243	216	99	134	1
2955	11	295	80	3711	237	225	117	2526	1
2877	18	108	20	3496	248	218	92	2821	1
2969	7	277	15	4982	219	226	143	2522	1
2972	6	210	18	5044	210	230	159	2538	1
2885	7	283	61	2916	233	234	135	2164	1
2724	14	537	54	1342	227	210	115	1500	1
2815	13	124	22	2181	194	220	165	1758	1
3132	5	240	22	5284	210	233	161	484	1
3080	5	234	-3	4964	224	230	142	1033	1
2884	11	1	0	3799	239	228	119	2708	1
3010	15	492	43	4759	235	210	103	1405	1
2986	15	108	19	4970	244	221	102	2753	1
2734	8	323	41	1471	231	228	130	1770	1
2974	14	120	22	4204	226	247	150	2250	1
2925	18	60	16	3827	179	209	167	2634	1
3088	4	313	4	5120	222	231	145	1273	1
2974	12	124	-3	5210	225	215	123	2618	1
2701	15	30	-5	1315	240	212	98	2078	1
2977	4	30	5	5543	213	233	158	2215	1
2958	5	30	0	4329	207	242	173	2160	1
2888	11	382	35	2375	192	227	174	2573	1
2908	13	240	58	2774	201	215	150	2621	1
2665	10	228	-33	1103	233	223	121	2249	1
3097	17	446	77	4983	208	204	129	1637	1
2983	19	170	51	3718	246	211	88	2754	1
3221	9	603	77	6340	217	220	139	1339	1
2824	9	85	2	1333	221	220	133	2575	1
2765	9	339	0	955	234	227	124	2553	1
2953	8	192	14	2358	228	225	131	2191	1
3013	3	0	0	4993	218	232	151	2688	1
3077	10	212	54	4436	192	232	179	2315	1
3097	18	192	18	5143	246	227	103	1950	1
3069	17	259	45	4273	247	220	96	2527	1
2735	8	420	54	488	228	224	129	2758	1
2769	18	424	52	618	242	206	88	2610	1
2967	5	150	-1	2293	227	232	139	1831	1
2761	17	361	44	564	240	208	93	2588	1
2792	6	371	59	693	229	230	135	2462	1
2804	11	331	2	794	239	232	121	2338	1
3182	19	484	115	5966	168	244	214	2032	1
3078	7	0	0	4801	206	230	162	2355	1
2909	4	134	0	1413	219	230	147	1920	1
3241	15	655	175	6112	190	251	197	2042	1
2754	17	124	21	510	235	241	130	2424	1
3276	4	722	128	6210	225	238	148	2072	1
3086	12	242	39	4471	241	223	110	2605	1
3080	16	175	17	4682	242	213	97	2951	1
2737	6	1	0	626	230	232	136	2240	1
2927	8	175	18	1634	234	228	126	1558	1
3062	7	0	0	4239	208	230	161	2305	1
3102	12	324	44	5001	212	217	140	2809	1
3102	13	170	32	5563	187	246	198	2543	1
2843	9	67	0	1215	214	220	141	1676	1
2956	9	272	2	1885	232	223	123	1249	1
3067	4	30	0	3691	214	233	157	1725	1
3131	16	404	71	4935	208	205	130	2914	1
3114	8	234	47	5143	219	224	141	2908	1
3031	5	210	22	2374	223	232	145	932	1
2979	16	242	53	2163	246	219	97	920	1
3099	8	42	3	4386	213	225	149	3395	1
3148	16	371	79	5006	212	203	123	3053	1
2812	19	471	123	484	232	196	89	2501	1
3185	7	306	33	4801	201	237	175	2460	1
3045	4	192	0	2602	228	236	144	666	1
3028	14	256	-3	2490	242	231	115	661	1
2938	13	272	12	1581	185	233	188	1240	1
3122	6	212	10	3763	210	230	158	1423	1
2876	7	30	0	1188	201	233	171	1699	1
3139	18	124	24	4313	217	197	110	3565	1
3132	7	201	32	5193	223	225	138	3304	1
3163	16	379	69	5015	226	202	105	3331	1
3208	18	313	83	4106	232	201	95	3721	1
3173	19	277	58	5759	177	251	209	3155	1
3183	5	242	7	4906	206	242	175	2423	1
3151	5	343	15	4442	224	229	141	1949	1
2915	22	150	11	1429	213	190	105	1559	1
3115	12	360	10	3688	231	244	144	1100	1
2930	12	0	0	1716	210	214	139	1273	1
3098	14	170	-3	3856	243	228	111	1201	1
3011	14	170	42	2320	243	229	111	663	1
3016	14	450	15	2787	180	237	197	170	1
3173	13	256	58	5234	212	213	136	2701	1
3101	2	108	0	4120	222	236	150	1392	1
3245	11	510	129	4978	233	222	121	2676	1
3101	12	212	16	3813	194	221	165	994	1
3034	11	67	11	2023	222	215	127	1415	1
3137	7	319	35	4682	230	228	131	1908	1
2934	6	60	5	1031	229	238	143	2310	1
3189	10	319	14	5113	237	228	122	2337	1
3104	3	67	9	4328	224	238	149	1477	1
3104	2	60	9	4369	223	238	151	1493	1
3253	5	553	10	4295	220	229	147	2513	1
3239	4	384	18	4482	226	239	147	2270	1
3275	12	395	-7	4079	240	224	111	2455	1
3184	3	450	89	5074	219	232	149	2101	1
3201	3	323	30	5997	215	242	165	1917	1
3061	7	60	4	3612	206	230	162	361	1
3035	9	201	35	2642	197	241	184	845	1
2899	12	240	22	579	212	213	137	1739	1
3197	2	247	26	5922	213	240	166	1842	1
3200	3	335	18	6009	211	241	167	1869	1
3174	3	404	13	4248	225	236	146	972	1
3114	7	201	23	2429	225	226	135	1110	1
3021	20	86	22	1626	189	198	143	2048	1
3201	8	67	7	5961	204	246	180	1503	1
3066	14	150	18	3886	243	226	109	417	1
3250	10	95	4	4270	209	220	148	1706	1
2950	15	524	5	741	241	214	99	1873	1
3105	8	127	3	2349	225	223	132	1368	1
3080	15	190	3	2135	181	222	180	1645	1
3273	12	247	64	4937	192	247	193	1129	1
3141	6	247	21	2919	220	227	142	890	1
3091	7	120	14	2106	228	226	132	1719	1
3224	5	30	0	5883	208	242	173	1443	1
3167	12	150	11	4805	235	240	133	1333	1
3077	8	0	0	2039	199	235	175	1860	1
3261	16	552	49	5466	242	234	117	1482	1
3257	16	60	21	4554	240	210	95	1158	1
3239	6	0	0	4607	228	228	135	1099	1
3123	26	150	61	4089	169	183	143	808	1
3238	10	256	13	5901	193	244	191	1248	1
3161	7	335	30	3194	203	243	180	942	1
3232	8	306	8	5960	200	242	183	1184	1
3072	9	0	0	3810	218	221	138	786	1
2886	22	67	-6	430	224	186	86	1772	1
3136	6	324	31	3436	204	241	176	875	1
3133	5	258	32	3503	207	241	173	882	1
3106	31	30	17	3900	214	156	55	883	1
3489	17	319	107	3620	183	214	169	1722	1
3230	11	212	17	5750	231	242	141	1138	1
3253	38	175	172	4047	193	132	45	997	1
3185	5	323	-27	3180	205	237	171	1182	1
3119	9	0	0	2324	215	221	142	1910	1
3118	19	151	31	5104	214	196	112	1445	1
2962	12	242	22	731	229	214	116	2106	1
3137	8	150	26	2227	211	224	149	2084	1
3210	6	61	-1	5920	230	232	136	854	1
3193	16	216	0	5243	232	207	102	1249	1
3210	9	120	5	5901	219	221	138	765	1
3209	6	68	-8	3319	204	240	175	1504	1
2968	8	162	38	721	228	223	128	2308	1
3268	7	362	16	6271	232	236	137	541	1
3218	25	190	83	3971	242	187	61	1410	1
3043	7	0	0	1530	232	235	136	2868	1
3237	10	300	94	4669	192	233	182	949	1
3281	11	61	7	5284	232	219	117	216	1
3295	5	351	31	5914	224	229	140	443	1
3229	9	30	3	6041	212	221	146	430	1
3240	7	365	26	4686	223	244	155	726	1
3173	8	271	33	1981	226	224	132	3027	1
3208	2	30	0	5192	221	234	150	518	1
3307	3	108	0	5460	217	233	153	604	1
3222	1	218	-6	4669	218	239	158	674	1
3018	4	85	5	942	209	237	167	2458	1
3276	16	300	59	3456	179	246	205	1850	1
3272	10	382	63	5369	224	219	128	417	1
3282	6	360	59	5414	221	227	142	485	1
2753	12	30	10	1275	220	215	127	2092	0
3296	11	390	85	5098	213	216	138	247	1
2810	9	270	13	1595	205	223	155	2269	0
3318	21	108	47	5785	230	192	85	711	1
3040	8	42	0	1142	221	223	137	2120	1
3234	11	30	6	4520	196	226	170	470	1
3245	11	120	0	4458	192	228	176	552	1
3382	12	430	114	5102	206	215	145	541	1
2805	18	61	17	1468	190	205	150	2382	0
3236	13	150	31	3103	216	211	129	2304	1
2863	16	95	44	1657	206	205	133	2520	0
3251	8	0	0	3408	214	223	145	2030	1
2895	26	60	8	1768	151	197	181	2686	0
2962	19	210	75	1936	173	212	177	2724	0
3348	7	447	58	3554	214	226	148	1605	1
3278	11	60	14	3247	191	231	180	2126	1
2972	21	330	128	1839	173	202	166	2806	0
2982	17	258	72	1655	182	212	167	2568	0
3073	5	150	8	1565	208	232	163	1676	1
2575	23	350	104	1050	192	187	125	1665	0
2931	21	495	152	805	249	206	76	1224	1
2614	17	335	134	1140	222	201	108	1756	0
2779	9	60	0	424	216	222	142	912	1
3188	14	90	-2	2348	179	236	197	2356	1
3017	8	659	107	2186	225	244	153	2568	0
3148	16	108	16	2223	246	222	99	2123	1
2693	25	531	194	899	190	179	116	655	0
3173	19	120	-20	2160	249	222	93	2192	1
2983	11	323	69	1724	230	244	144	2825	0
2829	22	108	24	1415	220	249	151	2117	0
3164	12	90	-13	1907	190	229	179	1860	1
2674	31	127	51	1120	122	223	234	900	0
2556	35	43	16	1631	253	169	0	1500	0
2970	13	418	49	2110	218	250	163	2100	0
3320	9	216	53	3282	194	234	180	1775	1
3267	12	67	9	2174	192	224	171	2703	1
2902	5	30	0	1333	207	235	168	2467	0
2917	8	108	35	1216	203	229	165	2395	0
2706	26	216	109	1231	165	186	153	780	0
2949	4	256	22	1947	208	239	170	1968	0
2811	3	361	116	1290	223	233	146	662	0
2891	18	607	70	1302	176	215	178	953	0
2973	22	430	146	1130	250	219	84	540	1
2652	34	95	44	1485	126	239	238	1150	0
2793	17	30	1	1129	194	206	146	1806	0
2823	24	400	128	900	187	183	124	218	0
2844	16	499	149	878	202	205	138	300	0
2862	18	488	-35	824	202	199	129	295	0
2680	13	108	20	1256	238	220	110	819	0
2960	19	150	11	484	235	199	89	1687	0
2925	19	30	7	480	222	196	102	1680	0
3031	11	234	43	849	205	220	150	1838	0
2782	21	42	13	1087	212	189	104	1471	0
2935	17	85	22	430	181	216	174	1622	0
2875	20	67	16	768	178	205	163	1811	0
2957	14	600	-26	849	217	208	123	571	0
2807	31	216	117	1655	155	249	217	1590	0
2837	24	42	11	1016	233	184	71	1560	0
2900	13	85	-5	2039	195	250	193	1131	0
2755	29	151	58	1104	253	187	40	1187	0
2885	11	480	188	811	228	217	121	912	0
3300	9	492	73	3818	220	248	161	2413	1
3312	18	300	91	2022	186	253	201	3216	1
3266	26	865	385	1249	246	224	90	2782	1
2866	20	360	168	830	231	193	87	1061	0
2721	24	108	45	2016	146	232	222	108	0
2887	21	162	4	323	247	227	98	1613	1
2853	36	474	98	1233	175	141	80	1020	0
2792	12	175	22	182	213	214	136	1048	1
3311	26	488	89	1776	190	253	187	3511	1
2909	12	417	45	2268	218	250	164	601	0
2748	20	128	-42	127	200	193	124	350	1
3264	9	391	88	3293	224	247	155	2975	1
2743	17	95	31	1888	247	218	93	268	0
3264	25	540	43	1718	196	253	179	3520	1
2790	15	0	0	90	245	225	104	1413	1
3024	18	162	42	182	172	219	186	1431	0
2965	14	408	91	759	193	216	160	1779	0
2824	21	242	102	2352	159	240	218	376	0
2730	14	30	6	1973	235	212	104	297	0
3232	13	201	34	3666	216	252	168	2879	1
2925	6	534	40	1530	231	233	135	1082	0
2889	11	42	8	571	238	234	124	2502	1
3056	7	60	0	2552	223	245	156	3705	1
3040	17	335	115	1392	240	237	121	3331	1
3043	19	335	66	1634	217	251	159	3572	1
2831	12	60	2	1342	215	214	134	918	0
2828	13	30	7	2130	185	231	186	1026	0
2898	6	0	0	1233	209	230	159	537	0
2856	11	108	16	2040	191	242	191	1106	0
2992	6	30	0	2165	227	240	146	4103	1
2986	3	0	0	2096	223	232	146	4030	1
3136	20	42	6	3019	179	203	159	3889	1
3071	33	247	85	2220	184	156	91	4140	1
2986	11	201	10	1521	213	217	139	661	0
2871	24	150	64	150	252	203	66	1061	1
3205	5	30	0	3261	223	229	142	4039	1
2867	29	240	61	2632	192	163	92	955	0
3253	34	85	29	1296	118	231	241	2539	1
3016	21	603	-87	633	249	206	75	1650	1
3017	5	485	189	2872	209	233	162	649	0
2966	26	443	-106	488	246	187	54	1519	1
2959	7	42	6	1215	201	240	177	351	0
3279	10	350	76	1613	210	219	146	2994	1
3043	13	108	2	1956	184	233	189	3424	1
2967	14	175	22	1648	180	238	198	60	0
2986	29	85	39	2758	127	224	230	192	0
3045	25	182	-11	618	251	196	58	1739	1
3040	7	277	56	3017	230	240	142	450	0
3184	30	216	41	2093	135	240	235	3186	1
3295	28	469	74	1974	137	238	233	3245	1
3331	27	484	49	2012	136	230	228	3202	1
2940	13	30	0	1978	188	246	198	534	0
2964	10	190	35	618	236	224	119	2292	0
2950	14	42	1	2379	235	213	106	1879	0
3075	23	170	33	3035	252	211	74	2743	1
3153	13	360	82	366	236	216	109	824	0
2948	10	182	15	2206	220	218	132	525	0
2997	6	268	19	2881	204	240	175	638	0
3188	16	42	12	1500	244	221	102	2730	1
2928	25	256	131	268	235	181	64	1466	1
3008	20	330	68	1559	173	207	171	789	0
3068	13	30	11	3066	187	223	175	2490	1
2950	22	335	150	350	238	191	74	1405	1
2994	13	95	23	2766	185	245	199	792	0
3016	8	0	0	782	217	247	165	443	0
3392	23	272	99	2489	181	191	142	2512	1
3037	10	212	38	3056	231	220	120	1482	0
3217	13	531	115	497	239	219	108	864	0
3368	44	151	50	2918	66	177	230	2336	1
2833	12	30	-4	1129	234	241	136	2347	0
3326	22	319	62	4012	242	233	108	2496	1
3010	13	0	0	2850	184	241	196	993	0
3093	11	190	33	3362	191	230	179	2193	1
3302	32	0	0	3087	119	196	208	2219	1
3035	10	0	0	878	229	221	124	201	0
2810	16	443	78	134	173	237	204	1883	0
3479	32	162	45	2837	118	226	238	2250	1
3146	19	151	44	1194	165	223	197	2163	1
3039	17	240	93	2550	177	220	182	1057	0
2989	17	150	28	1230	212	203	124	960	0
2964	18	150	18	1302	218	197	107	1290	0
2765	18	42	12	553	244	232	111	2793	0
3535	7	256	101	2797	222	245	157	2067	1
2973	2	0	0	2003	217	234	155	2697	0
3118	19	67	16	1092	183	207	160	379	0
2788	14	85	14	1048	213	209	129	3139	0
2825	16	342	110	475	191	253	196	2001	0
3254	24	175	19	3455	148	218	206	1832	1
3126	25	295	62	1236	230	181	69	201	0
2828	16	150	40	1324	204	206	136	2947	0
2986	10	30	6	2001	233	223	121	2792	0
2705	18	371	63	400	201	201	134	534	0
2965	15	85	0	1558	214	206	124	1401	0
2775	9	30	6	726	218	223	141	2908	0
3329	47	272	69	4646	245	139	0	2377	1
2899	14	192	48	1653	193	218	164	2564	0
3109	10	30	5	3997	193	233	180	1793	1
3081	6	339	44	2780	222	227	140	1448	0
2885	15	306	37	1587	223	207	115	2746	0
2846	9	591	20	810	229	222	125	1470	0
3065	7	212	17	2858	216	226	147	1588	0
3064	11	60	7	1622	217	216	133	887	0
3464	27	120	52	3194	142	239	230	1613	1
2886	13	430	75	1588	240	234	121	2831	0
2809	6	391	21	1006	229	229	134	1350	0
3109	1	630	55	2362	221	236	151	2230	0
3179	12	30	-4	1600	229	215	117	541	0
3416	30	85	41	3369	127	201	207	1484	1
3344	12	150	18	1296	240	227	115	1588	0
3149	13	134	7	1727	216	210	127	671	0
3197	16	0	0	4388	238	209	98	1931	1
3483	23	738	268	2393	239	189	70	1740	1
2745	9	0	0	811	216	222	141	2118	0
2831	12	150	20	1345	200	219	157	2912	0
2808	22	85	27	1230	179	253	206	1667	0
3461	28	240	110	3503	130	219	223	1295	1
3598	15	765	186	2760	211	206	128	1449	1
2712	31	162	88	592	174	251	196	1518	0
3077	13	272	39	666	242	224	109	1605	1
3108	7	335	40	2190	204	230	164	2296	0
3199	2	0	0	4190	219	236	152	1682	1
3658	22	726	246	2882	195	188	122	1289	1
2624	17	30	7	488	186	252	201	1365	0
2873	13	497	227	1110	186	244	198	1860	0
3143	22	446	1	2190	184	193	142	1315	0
2875	11	228	-7	1528	201	222	159	2850	0
2745	6	60	-5	1215	223	226	139	860	0
